Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-B-Stinger	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07992	YHR027C	RPN1	rpn1-821	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08760	YOR074C	CDC21	cdc21-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09798	YIL126W	STH1	sth1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10200	YFL034C-B	MOB2	mob2-14	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12352	YHR036W	BRL1	brl1-3231	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11906	YKL052C	ASK1	ask1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11995	YDR188W	CCT6	cct6-18	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07731	YDL126C	CDC48	cdc48-9	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07974	YGR113W	DAM1	dam1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08005	YPR103W	PRE2	pre2-127	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
