Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-B	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR046C		RLA1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR062C	BUD28		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR082C	SRL2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR097C	HRT3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR118C		APT1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL060C	GTT2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR016C	PML1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR044C	PDC1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR061W	RPL22A		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR081W	GAL2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
