Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Target-2-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR026W	PPA1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YKL139W	CTK1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YNL252C	MRPL17	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YNL028W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOL143C	RIB4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	16	B8								empty well		
Target-2-A	17	C1								empty well		
Target-2-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YFR032C-A	RPL29	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOL100W	PKH2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YJL140W	RPB4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR112C	CYC8	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YGL038C	OCH1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	24	C8								empty well		
Target-2-A	25	D1								empty well		
Target-2-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YER092W	IES5	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YCR084C	TUP1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL039C	UBI4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YCR053W	THR4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YNL139C	THO2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	32	D8								empty well		
Target-2-A	33	E1								empty well		
Target-2-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBL016W	FUS3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR168W	MTG2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YIL069C	RPS24B	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR332W	VMA4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL179W	PCL9	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR039W	ATP3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	40	E8								empty well		
Target-2-A	41	F1								empty well		
Target-2-A	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR032W	RAD5	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	48	F8								empty well		
Target-2-B	1	A1								empty well		
Target-2-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL100C	GET3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	6	A6								empty well		
Target-2-B	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	8	A8								empty well		
Target-2-B	9	B1								empty well		
