Plate	Plate Column	Plate Row	Well	Well Number	Comments
experiment_19	8	2	B8	20	annotation coming soon
experiment_19	9	2	B9	21	annotation coming soon
experiment_19	10	2	B10	22	annotation coming soon
experiment_19	2	6	F2	62	annotation coming soon
experiment_19	3	6	F3	63	annotation coming soon
experiment_19	4	6	F4	64	annotation coming soon
experiment_19	5	6	F5	65	annotation coming soon
experiment_19	6	6	F6	66	annotation coming soon
experiment_19	7	6	F7	67	annotation coming soon
experiment_19	8	6	F8	68	annotation coming soon
experiment_19	9	6	F9	69	annotation coming soon
experiment_19	10	6	F10	70	annotation coming soon
experiment_2	1	1	A1	1	annotation coming soon
experiment_2	2	1	A2	2	annotation coming soon
experiment_2	3	1	A3	3	annotation coming soon
experiment_2	4	1	A4	4	annotation coming soon
experiment_2	5	1	A5	5	annotation coming soon
experiment_2	6	1	A6	6	annotation coming soon
experiment_2	7	1	A7	7	annotation coming soon
experiment_2	8	1	A8	8	annotation coming soon
experiment_2	9	1	A9	9	annotation coming soon
experiment_2	10	1	A10	10	annotation coming soon
experiment_2	11	1	A11	11	annotation coming soon
experiment_2	12	1	A12	12	annotation coming soon
experiment_2	1	2	B1	13	annotation coming soon
experiment_2	2	2	B2	14	annotation coming soon
experiment_2	3	2	B3	15	annotation coming soon
experiment_2	4	2	B4	16	annotation coming soon
experiment_2	5	2	B5	17	annotation coming soon
experiment_2	6	2	B6	18	annotation coming soon
experiment_2	7	2	B7	19	annotation coming soon
experiment_2	8	2	B8	20	annotation coming soon
experiment_2	9	2	B9	21	annotation coming soon
experiment_2	10	2	B10	22	annotation coming soon
experiment_2	11	2	B11	23	annotation coming soon
experiment_2	12	2	B12	24	annotation coming soon
experiment_20	2	2	B2	14	annotation coming soon
experiment_20	3	2	B3	15	annotation coming soon
experiment_20	4	2	B4	16	annotation coming soon
experiment_20	5	2	B5	17	annotation coming soon
experiment_20	6	2	B6	18	annotation coming soon
experiment_20	7	2	B7	19	annotation coming soon
experiment_20	8	2	B8	20	annotation coming soon
experiment_20	9	2	B9	21	annotation coming soon
experiment_20	10	2	B10	22	annotation coming soon
experiment_20	2	4	D2	38	annotation coming soon
experiment_20	3	4	D3	39	annotation coming soon
experiment_20	4	4	D4	40	annotation coming soon
experiment_20	5	4	D5	41	annotation coming soon
experiment_20	6	4	D6	42	annotation coming soon
experiment_20	7	4	D7	43	annotation coming soon
experiment_20	8	4	D8	44	annotation coming soon
experiment_20	9	4	D9	45	annotation coming soon
experiment_20	10	4	D10	46	annotation coming soon
experiment_21	2	2	B2	14	annotation coming soon
experiment_21	3	2	B3	15	annotation coming soon
experiment_21	4	2	B4	16	annotation coming soon
experiment_21	5	2	B5	17	annotation coming soon
experiment_21	6	2	B6	18	annotation coming soon
experiment_21	7	2	B7	19	annotation coming soon
experiment_21	8	2	B8	20	annotation coming soon
experiment_21	9	2	B9	21	annotation coming soon
experiment_21	10	2	B10	22	annotation coming soon
experiment_21	2	4	D2	38	annotation coming soon
experiment_21	3	4	D3	39	annotation coming soon
experiment_21	4	4	D4	40	annotation coming soon
experiment_21	5	4	D5	41	annotation coming soon
experiment_21	6	4	D6	42	annotation coming soon
experiment_21	7	4	D7	43	annotation coming soon
experiment_21	8	4	D8	44	annotation coming soon
experiment_21	9	4	D9	45	annotation coming soon
experiment_21	10	4	D10	46	annotation coming soon
experiment_21	2	5	E2	50	annotation coming soon
experiment_21	3	5	E3	51	annotation coming soon
experiment_21	4	5	E4	52	annotation coming soon
experiment_21	5	5	E5	53	annotation coming soon
experiment_21	6	5	E6	54	annotation coming soon
experiment_21	7	5	E7	55	annotation coming soon
