Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
WT_plate2	K7	WT_plate2_K7	YGL090W	LIF1	wild type smt3	no		
pro-smt3allR_plate1	C19	pro-smt3allR_plate1_C19	YGL094C	PAN2	pro-smt3allR	no		
smt3allR_plate1	C19	smt3allR_plate1_C19	YGL094C	PAN2	smt3allR	no		
WT_plate1	C19	WT_plate1_C19	YGL094C	PAN2	wild type smt3	no		
pro-smt3allR_plate2	C13	pro-smt3allR_plate2_C13	YGL116W	CDC20	pro-smt3allR	no		
smt3allR_plate2	C13	smt3allR_plate2_C13	YGL116W	CDC20	smt3allR	no		
WT_plate2	C13	WT_plate2_C13	YGL116W	CDC20	wild type smt3	no		
pro-smt3allR_plate4	O11	pro-smt3allR_plate4_O11	YGL131C	SNT2	pro-smt3allR	no		
smt3allR_plate4	O11	smt3allR_plate4_O11	YGL131C	SNT2	smt3allR	no		
WT_plate4	O11	WT_plate4_O11	YGL131C	SNT2	wild type smt3	no		
pro-smt3allR_plate1	A9	pro-smt3allR_plate1_A9	YGL150C	Ino80	pro-smt3allR	no		
smt3allR_plate1	A9	smt3allR_plate1_A9	YGL150C	Ino80	smt3allR	no		
WT_plate1	A9	WT_plate1_A9	YGL150C	Ino80	wild type smt3	no		
pro-smt3allR_plate3	C7	pro-smt3allR_plate3_C7	YGL162W	SUT1	pro-smt3allR	no		
smt3allR_plate3	C7	smt3allR_plate3_C7	YGL162W	SUT1	smt3allR	no		
WT_plate3	C7	WT_plate3_C7	YGL162W	SUT1	wild type smt3	no		
smt3allR_plate1	G5	smt3allR_plate1_G5	YGL163C	RAD54	smt3allR	no	no colony	
pro-smt3allR_plate1	G5	pro-smt3allR_plate1_G5	YGL163C	RAD54	pro-smt3allR	no		
WT_plate1	G5	WT_plate1_G5	YGL163C	RAD54	wild type smt3	no		
pro-smt3allR_plate1	I1	pro-smt3allR_plate1_I1	YGL180W	ATG1	pro-smt3allR	no	no cells	
smt3allR_plate1	I1	smt3allR_plate1_I1	YGL180W	ATG1	smt3allR	no		
WT_plate1	I1	WT_plate1_I1	YGL180W	ATG1	wild type smt3	no		
pro-smt3allR_plate2	K1	pro-smt3allR_plate2_K1	YGL194C	HOS2	pro-smt3allR	no		
smt3allR_plate2	K1	smt3allR_plate2_K1	YGL194C	HOS2	smt3allR	no		
WT_plate2	K1	WT_plate2_K1	YGL194C	HOS2	wild type smt3	no		
pro-smt3allR_plate1	E11	pro-smt3allR_plate1_E11	YGL201C	MCM6	pro-smt3allR	no		
smt3allR_plate1	E11	smt3allR_plate1_E11	YGL201C	MCM6	smt3allR	no		
WT_plate1	E11	WT_plate1_E11	YGL201C	MCM6	wild type smt3	no		
pro-smt3allR_plate1	O19	pro-smt3allR_plate1_O19	YGL249W	ZIP2	pro-smt3allR	no		
smt3allR_plate1	O19	smt3allR_plate1_O19	YGL249W	ZIP2	smt3allR	no		
WT_plate1	O19	WT_plate1_O19	YGL249W	ZIP2	wild type smt3	no		
pro-smt3allR_plate4	O9	pro-smt3allR_plate4_O9	YGR020C	VMA7	pro-smt3allR	no		
smt3allR_plate4	O9	smt3allR_plate4_O9	YGR020C	VMA7	smt3allR	no		
WT_plate4	O9	WT_plate4_O9	YGR020C	VMA7	wild type smt3	no		
pro-smt3allR_plate3	C5	pro-smt3allR_plate3_C5	YGR044C	RME1	pro-smt3allR	no		
smt3allR_plate3	C5	smt3allR_plate3_C5	YGR044C	RME1	smt3allR	no		
WT_plate3	C5	WT_plate3_C5	YGR044C	RME1	wild type smt3	no		
pro-smt3allR_plate4	K5	pro-smt3allR_plate4_K5	YGR060W	ERG25	pro-smt3allR	no		
smt3allR_plate4	K5	smt3allR_plate4_K5	YGR060W	ERG25	smt3allR	no		
WT_plate4	K5	WT_plate4_K5	YGR060W	ERG25	wild type smt3	no		
pro-smt3allR_plate4	K7	pro-smt3allR_plate4_K7	YGR106C	VOA1	pro-smt3allR	no		
smt3allR_plate4	K7	smt3allR_plate4_K7	YGR106C	VOA1	smt3allR	no		
WT_plate4	K7	WT_plate4_K7	YGR106C	VOA1	wild type smt3	no		
pro-smt3allR_plate2	K13	pro-smt3allR_plate2_K13	YGR122W	YGR122W	pro-smt3allR	no		
smt3allR_plate2	K13	smt3allR_plate2_K13	YGR122W	YGR122W	smt3allR	no		
WT_plate2	K13	WT_plate2_K13	YGR122W	YGR122W	wild type smt3	no		
pro-smt3allR_plate3	M21	pro-smt3allR_plate3_M21	YGR151C	YGR151C	pro-smt3allR	no		
smt3allR_plate3	M21	smt3allR_plate3_M21	YGR151C	YGR151C	smt3allR	no		
WT_plate3	M21	WT_plate3_M21	YGR151C	YGR151C	wild type smt3	no		
pro-smt3allR_plate1	M13	pro-smt3allR_plate1_M13	YGR178C	PBP1	pro-smt3allR	no		
smt3allR_plate1	M13	smt3allR_plate1_M13	YGR178C	PBP1	smt3allR	no		
WT_plate1	M13	WT_plate1_M13	YGR178C	PBP1	wild type smt3	no		
pro-smt3allR_plate1	C5	pro-smt3allR_plate1_C5	YGR233C	PHO81	pro-smt3allR	no		
smt3allR_plate1	C5	smt3allR_plate1_C5	YGR233C	PHO81	smt3allR	no		
WT_plate1	C5	WT_plate1_C5	YGR233C	PHO81	wild type smt3	no		
pro-smt3allR_plate2	K17	pro-smt3allR_plate2_K17	YGR234W	YHB1	pro-smt3allR	no	no colony	
smt3allR_plate2	K17	smt3allR_plate2_K17	YGR234W	YHB1	smt3allR	no		
WT_plate2	K17	WT_plate2_K17	YGR234W	YHB1	wild type smt3	no		
pro-smt3allR_plate4	E13	pro-smt3allR_plate4_E13	YHL003C	LAG1	pro-smt3allR	no		
smt3allR_plate4	E13	smt3allR_plate4_E13	YHL003C	LAG1	smt3allR	no		
WT_plate4	E13	WT_plate4_E13	YHL003C	LAG1	wild type smt3	no		
pro-smt3allR_plate3	A23	pro-smt3allR_plate3_A23	YHR061C	GIC1	pro-smt3allR	no		
smt3allR_plate3	A23	smt3allR_plate3_A23	YHR061C	GIC1	smt3allR	no		
WT_plate3	A23	WT_plate3_A23	YHR061C	GIC1	wild type smt3	no		
pro-smt3allR_plate4	K9	pro-smt3allR_plate4_K9	YHR133C	NSG1	pro-smt3allR	no		
smt3allR_plate4	K9	smt3allR_plate4_K9	YHR133C	NSG1	smt3allR	no		
WT_plate4	K9	WT_plate4_K9	YHR133C	NSG1	wild type smt3	no		
pro-smt3allR_plate3	O11	pro-smt3allR_plate3_O11	YHR143W-A	RPC10	pro-smt3allR	no	few cells	
smt3allR_plate3	O11	smt3allR_plate3_O11	YHR143W-A	RPC10	smt3allR	no	few cells	
WT_plate3	O11	WT_plate3_O11	YHR143W-A	RPC10	wild type smt3	no		
pro-smt3allR_plate1	C13	pro-smt3allR_plate1_C13	YHR154W	RTT107	pro-smt3allR	no	few cells	
smt3allR_plate1	C13	smt3allR_plate1_C13	YHR154W	RTT107	smt3allR	no	no colony	
WT_plate1	C13	WT_plate1_C13	YHR154W	RTT107	wild type smt3	no		
smt3allR_plate1	I11	smt3allR_plate1_I11	YHR172W	SPC97	smt3allR	no	no colony	
pro-smt3allR_plate1	I11	pro-smt3allR_plate1_I11	YHR172W	SPC97	pro-smt3allR	no		
WT_plate1	I11	WT_plate1_I11	YHR172W	SPC97	wild type smt3	no		
pro-smt3allR_plate1	K9	pro-smt3allR_plate1_K9	YHR182W	YHR182W	pro-smt3allR	no		
smt3allR_plate1	K9	smt3allR_plate1_K9	YHR182W	YHR182W	smt3allR	no		
WT_plate1	K9	WT_plate1_K9	YHR182W	YHR182W	wild type smt3	no		
pro-smt3allR_plate1	C17	pro-smt3allR_plate1_C17	YIL031W	Ulp2	pro-smt3allR	no		
smt3allR_plate1	C17	smt3allR_plate1_C17	YIL031W	Ulp2	smt3allR	no		
WT_plate1	C17	WT_plate1_C17	YIL031W	Ulp2	wild type smt3	no		
pro-smt3allR_plate3	C19	pro-smt3allR_plate3_C19	YIL034C	CAP2	pro-smt3allR	no		
smt3allR_plate3	C19	smt3allR_plate3_C19	YIL034C	CAP2	smt3allR	no		
WT_plate3	C19	WT_plate3_C19	YIL034C	CAP2	wild type smt3	no		
pro-smt3allR_plate3	K15	pro-smt3allR_plate3_K15	YIL087C	AIM19	pro-smt3allR	no		
smt3allR_plate3	K15	smt3allR_plate3_K15	YIL087C	AIM19	smt3allR	no		
WT_plate3	K15	WT_plate3_K15	YIL087C	AIM19	wild type smt3	no		
pro-smt3allR_plate2	A23	pro-smt3allR_plate2_A23	YIL101C	XBP1	pro-smt3allR	no		
smt3allR_plate2	A23	smt3allR_plate2_A23	YIL101C	XBP1	smt3allR	no		
WT_plate2	A23	WT_plate2_A23	YIL101C	XBP1	wild type smt3	no		
pro-smt3allR_plate2	O5	pro-smt3allR_plate2_O5	YIL106W	MOB1	pro-smt3allR	no		
smt3allR_plate2	O5	smt3allR_plate2_O5	YIL106W	MOB1	smt3allR	no		
WT_plate2	O5	WT_plate2_O5	YIL106W	MOB1	wild type smt3	no		
pro-smt3allR_plate4	K19	pro-smt3allR_plate4_K19	YIL114C	POR2	pro-smt3allR	no		
smt3allR_plate4	K19	smt3allR_plate4_K19	YIL114C	POR2	smt3allR	no		
WT_plate4	K19	WT_plate4_K19	YIL114C	POR2	wild type smt3	no		
pro-smt3allR_plate3	I17	pro-smt3allR_plate3_I17	YIL158W	AIM20	pro-smt3allR	no		
smt3allR_plate3	I17	smt3allR_plate3_I17	YIL158W	AIM20	smt3allR	no		
WT_plate3	I17	WT_plate3_I17	YIL158W	AIM20	wild type smt3	no		
pro-smt3allR_plate4	C21	pro-smt3allR_plate4_C21	YJL085W	EXO70	pro-smt3allR	no		
smt3allR_plate4	C21	smt3allR_plate4_C21	YJL085W	EXO70	smt3allR	no		
WT_plate4	C21	WT_plate4_C21	YJL085W	EXO70	wild type smt3	no		
pro-smt3allR_plate3	C3	pro-smt3allR_plate3_C3	YJL145W	SFH5	pro-smt3allR	no		
smt3allR_plate3	C3	smt3allR_plate3_C3	YJL145W	SFH5	smt3allR	no		
WT_plate3	C3	WT_plate3_C3	YJL145W	SFH5	wild type smt3	no		
smt3allR_plate1	I23	smt3allR_plate1_I23	YJL157C	FAR1	smt3allR	no	no colony	
pro-smt3allR_plate1	I23	pro-smt3allR_plate1_I23	YJL157C	FAR1	pro-smt3allR	no		
WT_plate1	I23	WT_plate1_I23	YJL157C	FAR1	wild type smt3	no		
pro-smt3allR_plate3	M13	pro-smt3allR_plate3_M13	YJL173C	RFA3	pro-smt3allR	no	few cells	
smt3allR_plate3	M13	smt3allR_plate3_M13	YJL173C	RFA3	smt3allR	no	few cells	
WT_plate3	M13	WT_plate3_M13	YJL173C	RFA3	wild type smt3	no		
pro-smt3allR_plate2	G11	pro-smt3allR_plate2_G11	YJL194W	CDC6	pro-smt3allR	no		
smt3allR_plate2	G11	smt3allR_plate2_G11	YJL194W	CDC6	smt3allR	no		
WT_plate2	G11	WT_plate2_G11	YJL194W	CDC6	wild type smt3	no		
pro-smt3allR_plate2	C3	pro-smt3allR_plate2_C3	YJL209W	CBP1	pro-smt3allR	no		
smt3allR_plate2	C3	smt3allR_plate2_C3	YJL209W	CBP1	smt3allR	no		
WT_plate2	C3	WT_plate2_C3	YJL209W	CBP1	wild type smt3	no		
pro-smt3allR_plate4	M3	pro-smt3allR_plate4_M3	YJR058C	APS2	pro-smt3allR	no		
smt3allR_plate4	M3	smt3allR_plate4_M3	YJR058C	APS2	smt3allR	no		
WT_plate4	M3	WT_plate4_M3	YJR058C	APS2	wild type smt3	no		
pro-smt3allR_plate3	A1	pro-smt3allR_plate3_A1	YJR060W	CBF1	pro-smt3allR	no		
smt3allR_plate3	A1	smt3allR_plate3_A1	YJR060W	CBF1	smt3allR	no		
WT_plate3	A1	WT_plate3_A1	YJR060W	CBF1	wild type smt3	no		
pro-smt3allR_plate1	E3	pro-smt3allR_plate1_E3	YJR089W	BIR1	pro-smt3allR	no		
smt3allR_plate1	E3	smt3allR_plate1_E3	YJR089W	BIR1	smt3allR	no		
WT_plate1	E3	WT_plate1_E3	YJR089W	BIR1	wild type smt3	no		
pro-smt3allR_plate1	A5	pro-smt3allR_plate1_A5	YJR138W	IML1	pro-smt3allR	no		
smt3allR_plate1	A5	smt3allR_plate1_A5	YJR138W	IML1	smt3allR	no		
WT_plate1	A5	WT_plate1_A5	YJR138W	IML1	wild type smt3	no		
pro-smt3allR_plate4	I3	pro-smt3allR_plate4_I3	YJR161C	COS5	pro-smt3allR	no		
smt3allR_plate4	I3	smt3allR_plate4_I3	YJR161C	COS5	smt3allR	no		
WT_plate4	I3	WT_plate4_I3	YJR161C	COS5	wild type smt3	no		
pro-smt3allR_plate3	E15	pro-smt3allR_plate3_E15	YKL007W	CAP1	pro-smt3allR	no		
smt3allR_plate3	E15	smt3allR_plate3_E15	YKL007W	CAP1	smt3allR	no		
WT_plate3	E15	WT_plate3_E15	YKL007W	CAP1	wild type smt3	no		
pro-smt3allR_plate2	M9	pro-smt3allR_plate2_M9	YKL042W	SPC42	pro-smt3allR	no		
smt3allR_plate2	M9	smt3allR_plate2_M9	YKL042W	SPC42	smt3allR	no		
WT_plate2	M9	WT_plate2_M9	YKL042W	SPC42	wild type smt3	no		
pro-smt3allR_plate3	M11	pro-smt3allR_plate3_M11	YKL061W	YKL061W	pro-smt3allR	no		
smt3allR_plate3	M11	smt3allR_plate3_M11	YKL061W	YKL061W	smt3allR	no		
WT_plate3	M11	WT_plate3_M11	YKL061W	YKL061W	wild type smt3	no		
pro-smt3allR_plate2	I19	pro-smt3allR_plate2_I19	YKL108W	SLD2	pro-smt3allR	no	no colony	
smt3allR_plate2	I19	smt3allR_plate2_I19	YKL108W	SLD2	smt3allR	no		
WT_plate2	I19	WT_plate2_I19	YKL108W	SLD2	wild type smt3	no		
pro-smt3allR_plate1	K13	pro-smt3allR_plate1_K13	YKR010C	Tof2	pro-smt3allR	no		
smt3allR_plate1	K13	smt3allR_plate1_K13	YKR010C	Tof2	smt3allR	no		
WT_plate1	K13	WT_plate1_K13	YKR010C	Tof2	wild type smt3	no		
pro-smt3allR_plate1	G9	pro-smt3allR_plate1_G9	YKR064W	OAF3	pro-smt3allR	no		
smt3allR_plate1	G9	smt3allR_plate1_G9	YKR064W	OAF3	smt3allR	no		
WT_plate1	G9	WT_plate1_G9	YKR064W	OAF3	wild type smt3	no		
pro-smt3allR_plate2	M17	pro-smt3allR_plate2_M17	YKR066C	CCP1	pro-smt3allR	no		
smt3allR_plate2	M17	smt3allR_plate2_M17	YKR066C	CCP1	smt3allR	no		
WT_plate2	M17	WT_plate2_M17	YKR066C	CCP1	wild type smt3	no		
pro-smt3allR_plate2	M11	pro-smt3allR_plate2_M11	YKR076W	ECM4	pro-smt3allR	no		
smt3allR_plate2	M11	smt3allR_plate2_M11	YKR076W	ECM4	smt3allR	no		
WT_plate2	M11	WT_plate2_M11	YKR076W	ECM4	wild type smt3	no		
pro-smt3allR_plate1	O5	pro-smt3allR_plate1_O5	YKR090W	PXL1	pro-smt3allR	no		
smt3allR_plate1	O5	smt3allR_plate1_O5	YKR090W	PXL1	smt3allR	no		
WT_plate1	O5	WT_plate1_O5	YKR090W	PXL1	wild type smt3	no		
pro-smt3allR_plate1	G23	pro-smt3allR_plate1_G23	YLL026W	HSP104	pro-smt3allR	no		
smt3allR_plate1	G23	smt3allR_plate1_G23	YLL026W	HSP104	smt3allR	no		
WT_plate1	G23	WT_plate1_G23	YLL026W	HSP104	wild type smt3	no		
pro-smt3allR_plate3	O1	pro-smt3allR_plate3_O1	YLL048C	YBT1	pro-smt3allR	no		
smt3allR_plate3	O1	smt3allR_plate3_O1	YLL048C	YBT1	smt3allR	no		
WT_plate3	O1	WT_plate3_O1	YLL048C	YBT1	wild type smt3	no		
pro-smt3allR_plate1	C7	pro-smt3allR_plate1_C7	YLR032W	RAD5	pro-smt3allR	no		
smt3allR_plate1	C7	smt3allR_plate1_C7	YLR032W	RAD5	smt3allR	no		
WT_plate1	C7	WT_plate1_C7	YLR032W	RAD5	wild type smt3	no		
pro-smt3allR_plate1	E23	pro-smt3allR_plate1_E23	YLR045C	STU2	pro-smt3allR	no		
smt3allR_plate1	E23	smt3allR_plate1_E23	YLR045C	STU2	smt3allR	no		
WT_plate1	E23	WT_plate1_E23	YLR045C	STU2	wild type smt3	no		
pro-smt3allR_plate4	A9	pro-smt3allR_plate4_A9	YLR067C	PET309	pro-smt3allR	no		
smt3allR_plate4	A9	smt3allR_plate4_A9	YLR067C	PET309	smt3allR	no		
WT_plate4	A9	WT_plate4_A9	YLR067C	PET309	wild type smt3	no		
pro-smt3allR_plate2	K5	pro-smt3allR_plate2_K5	YLR080W	EMP46	pro-smt3allR	no		
smt3allR_plate2	K5	smt3allR_plate2_K5	YLR080W	EMP46	smt3allR	no		
WT_plate2	K5	WT_plate2_K5	YLR080W	EMP46	wild type smt3	no		
pro-smt3allR_plate1	K7	pro-smt3allR_plate1_K7	YLR114C	AVL9	pro-smt3allR	no		
smt3allR_plate1	K7	smt3allR_plate1_K7	YLR114C	AVL9	smt3allR	no		
WT_plate1	K7	WT_plate1_K7	YLR114C	AVL9	wild type smt3	no		
pro-smt3allR_plate1	K5	pro-smt3allR_plate1_K5	YLR131C	ACE2	pro-smt3allR	no		
smt3allR_plate1	K5	smt3allR_plate1_K5	YLR131C	ACE2	smt3allR	no		
WT_plate1	K5	WT_plate1_K5	YLR131C	ACE2	wild type smt3	no		
pro-smt3allR_plate3	E9	pro-smt3allR_plate3_E9	YLR136C	TIS11	pro-smt3allR	no		
smt3allR_plate3	E9	smt3allR_plate3_E9	YLR136C	TIS11	smt3allR	no		
WT_plate3	E9	WT_plate3_E9	YLR136C	TIS11	wild type smt3	no		
pro-smt3allR_plate2	I5	pro-smt3allR_plate2_I5	YLR183C	TOS4	pro-smt3allR	no		
smt3allR_plate2	I5	smt3allR_plate2_I5	YLR183C	TOS4	smt3allR	no		
WT_plate2	I5	WT_plate2_I5	YLR183C	TOS4	wild type smt3	no		
pro-smt3allR_plate1	E13	pro-smt3allR_plate1_E13	YLR187W	SKG3	pro-smt3allR	no		
smt3allR_plate1	E13	smt3allR_plate1_E13	YLR187W	SKG3	smt3allR	no		
WT_plate1	E13	WT_plate1_E13	YLR187W	SKG3	wild type smt3	no		
pro-smt3allR_plate2	G1	pro-smt3allR_plate2_G1	YLR197W	Nop56	pro-smt3allR	no		
smt3allR_plate2	G1	smt3allR_plate2_G1	YLR197W	Nop56	smt3allR	no		
WT_plate2	G1	WT_plate2_G1	YLR197W	Nop56	wild type smt3	no		
pro-smt3allR_plate4	G9	pro-smt3allR_plate4_G9	YLR220W	CCC1	pro-smt3allR	no		
smt3allR_plate4	G9	smt3allR_plate4_G9	YLR220W	CCC1	smt3allR	no		
WT_plate4	G9	WT_plate4_G9	YLR220W	CCC1	wild type smt3	no		
pro-smt3allR_plate4	O21	pro-smt3allR_plate4_O21	YLR262C-A	TMA7	pro-smt3allR	no		
smt3allR_plate4	O21	smt3allR_plate4_O21	YLR262C-A	TMA7	smt3allR	no		
WT_plate4	O21	WT_plate4_O21	YLR262C-A	TMA7	wild type smt3	no		
pro-smt3allR_plate3	A9	pro-smt3allR_plate3_A9	YLR265C	NEJ1	pro-smt3allR	no		
smt3allR_plate3	A9	smt3allR_plate3_A9	YLR265C	NEJ1	smt3allR	no		
WT_plate3	A9	WT_plate3_A9	YLR265C	NEJ1	wild type smt3	no		
pro-smt3allR_plate3	O21	pro-smt3allR_plate3_O21	YLR342W	FKS1	pro-smt3allR	no		
smt3allR_plate3	O21	smt3allR_plate3_O21	YLR342W	FKS1	smt3allR	no		
WT_plate3	O21	WT_plate3_O21	YLR342W	FKS1	wild type smt3	no		
pro-smt3allR_plate3	M23	pro-smt3allR_plate3_M23	YLR346C	YLR346C	pro-smt3allR	no		
smt3allR_plate3	M23	smt3allR_plate3_M23	YLR346C	YLR346C	smt3allR	no		
WT_plate3	M23	WT_plate3_M23	YLR346C	YLR346C	wild type smt3	no		
pro-smt3allR_plate3	G9	pro-smt3allR_plate3_G9	YLR376C	PSY3	pro-smt3allR	no		
smt3allR_plate3	G9	smt3allR_plate3_G9	YLR376C	PSY3	smt3allR	no		
WT_plate3	G9	WT_plate3_G9	YLR376C	PSY3	wild type smt3	no		
pro-smt3allR_plate4	K1	pro-smt3allR_plate4_K1	YLR393W	ATP10	pro-smt3allR	no		
smt3allR_plate4	K1	smt3allR_plate4_K1	YLR393W	ATP10	smt3allR	no		
WT_plate4	K1	WT_plate4_K1	YLR393W	ATP10	wild type smt3	no		
pro-smt3allR_plate4	A11	pro-smt3allR_plate4_A11	YLR450W	HMG2	pro-smt3allR	no		
smt3allR_plate4	A11	smt3allR_plate4_A11	YLR450W	HMG2	smt3allR	no		
WT_plate4	A11	WT_plate4_A11	YLR450W	HMG2	wild type smt3	no		
pro-smt3allR_plate2	C1	pro-smt3allR_plate2_C1	YML007W	YAP1	pro-smt3allR	no		
smt3allR_plate2	C1	smt3allR_plate2_C1	YML007W	YAP1	smt3allR	no		
WT_plate2	C1	WT_plate2_C1	YML007W	YAP1	wild type smt3	no		
pro-smt3allR_plate2	M5	pro-smt3allR_plate2_M5	YML027W	YOX1	pro-smt3allR	no		
smt3allR_plate2	M5	smt3allR_plate2_M5	YML027W	YOX1	smt3allR	no		
WT_plate2	M5	WT_plate2_M5	YML027W	YOX1	wild type smt3	no		
pro-smt3allR_plate4	A13	pro-smt3allR_plate4_A13	YML075C	HMG1	pro-smt3allR	no		
smt3allR_plate4	A13	smt3allR_plate4_A13	YML075C	HMG1	smt3allR	no		
WT_plate4	A13	WT_plate4_A13	YML075C	HMG1	wild type smt3	no		
pro-smt3allR_plate2	I3	pro-smt3allR_plate2_I3	YML085C	TUB1	pro-smt3allR	no		
smt3allR_plate2	I3	smt3allR_plate2_I3	YML085C	TUB1	smt3allR	no		
WT_plate2	I3	WT_plate2_I3	YML085C	TUB1	wild type smt3	no		
smt3allR_plate1	C11	smt3allR_plate1_C11	YML104C	MDM1	smt3allR	no	no colony	
pro-smt3allR_plate1	C11	pro-smt3allR_plate1_C11	YML104C	MDM1	pro-smt3allR	no		
WT_plate1	C11	WT_plate1_C11	YML104C	MDM1	wild type smt3	no		
pro-smt3allR_plate3	C9	pro-smt3allR_plate3_C9	YMR055C	BUB2	pro-smt3allR	no		
smt3allR_plate3	C9	smt3allR_plate3_C9	YMR055C	BUB2	smt3allR	no		
WT_plate3	C9	WT_plate3_C9	YMR055C	BUB2	wild type smt3	no		
pro-smt3allR_plate4	I23	pro-smt3allR_plate4_I23	YMR056C	AAC1	pro-smt3allR	no		
smt3allR_plate4	I23	smt3allR_plate4_I23	YMR056C	AAC1	smt3allR	no		
WT_plate4	I23	WT_plate4_I23	YMR056C	AAC1	wild type smt3	no		
pro-smt3allR_plate2	A21	pro-smt3allR_plate2_A21	YMR106C	YKU80	pro-smt3allR	no		
smt3allR_plate2	A21	smt3allR_plate2_A21	YMR106C	YKU80	smt3allR	no		
WT_plate2	A21	WT_plate2_A21	YMR106C	YKU80	wild type smt3	no		
pro-smt3allR_plate3	K1	pro-smt3allR_plate3_K1	YMR121C	RPL15B	pro-smt3allR	no		
smt3allR_plate3	K1	smt3allR_plate3_K1	YMR121C	RPL15B	smt3allR	no		
WT_plate3	K1	WT_plate3_K1	YMR121C	RPL15B	wild type smt3	no		
pro-smt3allR_plate1	O23	pro-smt3allR_plate1_O23	YMR137C	PSO2	pro-smt3allR	no		
smt3allR_plate1	O23	smt3allR_plate1_O23	YMR137C	PSO2	smt3allR	no		
WT_plate1	O23	WT_plate1_O23	YMR137C	PSO2	wild type smt3	no		
pro-smt3allR_plate2	I1	pro-smt3allR_plate2_I1	YMR140W	SIP5	pro-smt3allR	no		
smt3allR_plate2	I1	smt3allR_plate2_I1	YMR140W	SIP5	smt3allR	no		
WT_plate2	I1	WT_plate2_I1	YMR140W	SIP5	wild type smt3	no		
pro-smt3allR_plate1	K1	pro-smt3allR_plate1_K1	YMR160W	YMR160W	pro-smt3allR	no		
smt3allR_plate1	K1	smt3allR_plate1_K1	YMR160W	YMR160W	smt3allR	no		
WT_plate1	K1	WT_plate1_K1	YMR160W	YMR160W	wild type smt3	no		
pro-smt3allR_plate1	A13	pro-smt3allR_plate1_A13	YMR176W	ECM5	pro-smt3allR	no		
smt3allR_plate1	A13	smt3allR_plate1_A13	YMR176W	ECM5	smt3allR	no		
WT_plate1	A13	WT_plate1_A13	YMR176W	ECM5	wild type smt3	no		
pro-smt3allR_plate1	M5	pro-smt3allR_plate1_M5	YMR179W	SPT21	pro-smt3allR	no		
smt3allR_plate1	M5	smt3allR_plate1_M5	YMR179W	SPT21	smt3allR	no		
WT_plate1	M5	WT_plate1_M5	YMR179W	SPT21	wild type smt3	no		
pro-smt3allR_plate1	A11	pro-smt3allR_plate1_A11	YMR229C	RRP5	pro-smt3allR	no		
smt3allR_plate1	A11	smt3allR_plate1_A11	YMR229C	RRP5	smt3allR	no		
WT_plate1	A11	WT_plate1_A11	YMR229C	RRP5	wild type smt3	no		
pro-smt3allR_plate1	O3	pro-smt3allR_plate1_O3	YMR246W	FAA4	pro-smt3allR	no	no colony	
smt3allR_plate1	O3	smt3allR_plate1_O3	YMR246W	FAA4	smt3allR	no		
WT_plate1	O3	WT_plate1_O3	YMR246W	FAA4	wild type smt3	no		
pro-smt3allR_plate3	C1	pro-smt3allR_plate3_C1	YMR267W	PPA2	pro-smt3allR	no	few cells	
smt3allR_plate3	C1	smt3allR_plate3_C1	YMR267W	PPA2	smt3allR	no		
WT_plate3	C1	WT_plate3_C1	YMR267W	PPA2	wild type smt3	no		
smt3allR_plate1	A7	smt3allR_plate1_A7	YMR280C	CAT8	smt3allR	no	no colony	
pro-smt3allR_plate1	A7	pro-smt3allR_plate1_A7	YMR280C	CAT8	pro-smt3allR	no		
WT_plate1	A7	WT_plate1_A7	YMR280C	CAT8	wild type smt3	no		
pro-smt3allR_plate2	C11	pro-smt3allR_plate2_C11	YMR284W	YKU70	pro-smt3allR	no		
smt3allR_plate2	C11	smt3allR_plate2_C11	YMR284W	YKU70	smt3allR	no		
WT_plate2	C11	WT_plate2_C11	YMR284W	YKU70	wild type smt3	no		
pro-smt3allR_plate3	I9	pro-smt3allR_plate3_I9	YMR295C	YMR295C	pro-smt3allR	no		
smt3allR_plate3	I9	smt3allR_plate3_I9	YMR295C	YMR295C	smt3allR	no		
WT_plate3	I9	WT_plate3_I9	YMR295C	YMR295C	wild type smt3	no		
pro-smt3allR_plate2	G21	pro-smt3allR_plate2_G21	YNL022C	YNL022C	pro-smt3allR	no		
smt3allR_plate2	G21	smt3allR_plate2_G21	YNL022C	YNL022C	smt3allR	no		
WT_plate2	G21	WT_plate2_G21	YNL022C	YNL022C	wild type smt3	no		
pro-smt3allR_plate3	A19	pro-smt3allR_plate3_A19	YNL058C	YNL058C	pro-smt3allR	no		
smt3allR_plate3	A19	smt3allR_plate3_A19	YNL058C	YNL058C	smt3allR	no		
WT_plate3	A19	WT_plate3_A19	YNL058C	YNL058C	wild type smt3	no		
pro-smt3allR_plate1	E5	pro-smt3allR_plate1_E5	YNL118C	DCP2	pro-smt3allR	no		
smt3allR_plate1	E5	smt3allR_plate1_E5	YNL118C	DCP2	smt3allR	no		
WT_plate1	E5	WT_plate1_E5	YNL118C	DCP2	wild type smt3	no		
pro-smt3allR_plate1	K15	pro-smt3allR_plate1_K15	YNL161W	CBK1	pro-smt3allR	no		
smt3allR_plate1	K15	smt3allR_plate1_K15	YNL161W	CBK1	smt3allR	no		
WT_plate1	K15	WT_plate1_K15	YNL161W	CBK1	wild type smt3	no		
