Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
smt3allR_plate2	K3	smt3allR_plate2_K3	YDR170W-A	YDR170W-A	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	K3	WT_plate2_K3	YDR170W-A	YDR170W-A	wild type smt3	yes		
pro-smt3allR_plate2	M21	pro-smt3allR_plate2_M21	YDR171W	HSP42	pro-smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
smt3allR_plate2	M21	smt3allR_plate2_M21	YDR171W	HSP42	smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
WT_plate2	M21	WT_plate2_M21	YDR171W	HSP42	wild type smt3	yes		
pro-smt3allR_plate3	C15	pro-smt3allR_plate3_C15	YDR184C	ATC1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate3	C15	smt3allR_plate3_C15	YDR184C	ATC1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate3	C15	WT_plate3_C15	YDR184C	ATC1	wild type smt3	yes		
pro-smt3allR_plate2	M13	pro-smt3allR_plate2_M13	YDR191W	HST4	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate2	M13	smt3allR_plate2_M13	YDR191W	HST4	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate2	M13	WT_plate2_M13	YDR191W	HST4	wild type smt3	yes		
pro-smt3allR_plate2	O13	pro-smt3allR_plate2_O13	YDR214W	AHA1	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate2	O13	smt3allR_plate2_O13	YDR214W	AHA1	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate2	O13	WT_plate2_O13	YDR214W	AHA1	wild type smt3	yes		
pro-smt3allR_plate4	K17	pro-smt3allR_plate4_K17	YDR313C	PIB1	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	K17	smt3allR_plate4_K17	YDR313C	PIB1	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	K17	WT_plate4_K17	YDR313C	PIB1	wild type smt3	yes		
smt3allR_plate3	O17	smt3allR_plate3_O17	YDR320C-A	DAD4	smt3allR	yes	fish hook	the smt3allR mutant displays spindles with fish hook morphology1
pro-smt3allR_plate3	O17	pro-smt3allR_plate3_O17	YDR320C-A	DAD4	pro-smt3allR	yes		
WT_plate3	O17	WT_plate3_O17	YDR320C-A	DAD4	wild type smt3	yes		
