Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate1-TS-Blue-B	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07794	YLR078C	BOS1	bos1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	42	F2											empty well			
Plate1-TS-Blue-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07868	YFL039C	ACT1	act1-129	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07944	YAL034W-A	MTW1	mtw1-ts	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07981	YLL036C	PRP19	prp19-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08012	YJL074C	SMC3	smc3-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08148	YGL145W	TIP20	tip20-5	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	48	F8											empty well			
Plate1-TS-Green-A	1	A1											empty well			
Plate1-TS-Green-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04853	YDR364C	CDC40	cdc40-ts	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05110	YHR107C	CDC12	cdc12-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05299	YAL041W	CDC24	cdc24-H	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05587	YBR080C	SEC18	sec18-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06271	YDR180W	SCC2	scc2-4	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06417	YCR002C	CDC10	cdc10-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06444	YBL084C	CDC27	cdc27-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	9	B1											empty well			
Plate1-TS-Green-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04851	YDL102W	CDC2	cdc2-7	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05087	YLR310C	CDC25	cdc25-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05295	YER157W	COG3	cog3-1	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05582	YMR079W	SEC14	sec14-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	14	B6											empty well			
Plate1-TS-Green-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06414	YPR025C	CCL1	ccl1-ts4	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06441	YBL084C	CDC27	cdc27-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	17	C1											empty well			
Plate1-TS-Green-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04722	YNL263C	YIF1	yif1-td	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate1-TS-Green-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05085	YDR172W	SUP35	sup35-td	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05145	YGL233W	SEC15	sec15-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05577	YLR208W	SEC13	sec13-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06268	YER136W	GDI1	gdi1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06411	YGR140W	CBF2	cbf2-42	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06439	YFR036W	CDC26	cdc26-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	25	D1											empty well			
Plate1-TS-Green-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04720	YPR165W	RHO1	rho1-td	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05045	YOR361C	PRT1	prt1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	28	D4											empty well			
Plate1-TS-Green-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05572	YDR166C	SEC5	sec5-24	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06265	YLR166C	SEC10	sec10-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06408	YBR236C	ABD1	abd1-5	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06436	YHR166C	CDC23	cdc23-4	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Green-A	33	E1											empty well			
Plate1-TS-Green-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04662	YHR007C	ERG11	erg11-td	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
