Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate4-TS-Yellow-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10346	YLR215C	CDC123	cdc123-4	"30oC, very slow at 22oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11436	YER168C	CCA1	cca1-1	"35oC, slow at 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	33	E1											empty well			
Plate4-TS-Yellow-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04956	YLR314C	CDC3	cdc3-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04999	YNL102W	POL1	pol1-12	slow at all	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07857	YFL039C	ACT1	act1-105	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Yellow-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08078	YPR103W	PRE2	pre2-V214A	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10097	YBR143C	SUP45	sup45-ts	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Yellow-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10345	YPR033C	HTS1	hts1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11413	YDR167W	TAF10	taf10-ts34	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	41	F1											empty well			
Plate4-TS-Yellow-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04925	YOR236W	DFR1	dfr1-td	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04983	YJL097W	PHS1	phs1-1	slow at all	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07780	YLR071C	RGR1	rgr1-100	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	45	F5											empty well			
Plate4-TS-Yellow-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10055	YOR204W	DED1	ded1-F144C	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Yellow-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10323	YOR046C	DBP5	dbp5-2	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Yellow-B	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate5-TS-Blue-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11708	YGR098C	ESP1	esp1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11833	YBR079C	RPG1	rpg1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11891	YKL052C	ASK1	ask1-3	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11943	YDR437W	GPI19	gpi19-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12289	YLR022C	SDO1	sdo1-VMA1-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12346	YHR036W	BRL1	brl1-2221	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	7	A7											empty well			
Plate5-TS-Blue-A	8	A8											empty well			
Plate5-TS-Blue-A	9	B1											empty well			
Plate5-TS-Blue-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11755	YKL104C	GFA1	gfa1-97	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11879	YIL147C	SLN1	sln1-ts4	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11940	YDL105W	NSE4	nse4-ts2	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12284	YOL144W	NOP8	nop8-101	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12338	YPR108W	RPN7	rpn7-3	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	15	B7											empty well			
Plate5-TS-Blue-A	16	B8											empty well			
Plate5-TS-Blue-A	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11705	YDL084W	SUB2	sub2-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11754	YDR050C	TPI1	tpi1-1670	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11878	YHR088W	RPF1	rpf1-1	"30oc - 37oC, sick 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11929	YDR437W	GPI19	gpi19-2-XH	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	21	C5											empty well			
Plate5-TS-Blue-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12332	YDL147W	RPN5	rpn5-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12387	YFL017C	GNA1	gna1-ts	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	24	C8											empty well			
Plate5-TS-Blue-A	25	D1											empty well			
Plate5-TS-Blue-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11752	YAL003W	EFB1	efb1-4	"37oC, slow 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11873	YFR037C	RSC8	rsc8-ts21	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11921	YPR133C	SPN1	spn1-K192N	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12015	YLR430W	SEN1	sen1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12326	YDL097C	RPN6	rpn6-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate5-TS-Blue-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12382	YLR117C	CLF1	clf1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	32	D8											empty well			
Plate5-TS-Blue-A	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11694	YDL132W	CDC53	cdc53-1	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	34	E2											empty well			
Plate5-TS-Blue-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11867	YFR037C	RSC8	rsc8-ts16	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate5-TS-Blue-A	36	E4											empty well			
Plate5-TS-Blue-A	37	E5											empty well			
Plate5-TS-Blue-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12315	YKL024C	URA6	ura6-6	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12374	YKL021C	MAK11	mak11-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-A	40	E8											empty well			
Plate5-TS-Blue-A	41	F1											empty well			
Plate5-TS-Blue-A	42	F2											empty well			
Plate5-TS-Blue-A	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate5-TS-Blue-A	44	F4											empty well			
Plate5-TS-Blue-A	45	F5											empty well			
Plate5-TS-Blue-A	46	F6											empty well			
Plate5-TS-Blue-A	47	F7											empty well			
Plate5-TS-Blue-A	48	F8											empty well			
Plate5-TS-Blue-B	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11742	YPL266W	DIM1	dim1-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	2	A2											empty well			
Plate5-TS-Blue-B	3	A3											empty well			
Plate5-TS-Blue-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12014	YLR186W	EMG1	emg1-1	"30oC - 35oC, slow 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12314	YKL024C	URA6	ura6-5	"35oC, slow at 22oC - 30oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12371	YLR007W	NSE1	nse1-16	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	7	A7											empty well			
Plate5-TS-Blue-B	8	A8											empty well			
Plate5-TS-Blue-B	9	B1											empty well			
Plate5-TS-Blue-B	10	B2											empty well			
Plate5-TS-Blue-B	11	B3											empty well			
Plate5-TS-Blue-B	12	B4											empty well			
Plate5-TS-Blue-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12311	YKL024C	URA6	ura6-4	"35oC, slow at 22oC - 30oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12366	YHR036W	BRL1	brl1-K405I	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	15	B7											empty well			
Plate5-TS-Blue-B	16	B8											empty well			
Plate5-TS-Blue-B	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11719	YML049C	RSE1	rse1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	18	C2											empty well			
Plate5-TS-Blue-B	19	C3											empty well			
Plate5-TS-Blue-B	20	C4											empty well			
Plate5-TS-Blue-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12301	YOL021C	DIS3	dis3-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12360	YHR036W	BRL1	brl1-C371S	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	23	C7											empty well			
Plate5-TS-Blue-B	24	C8											empty well			
Plate5-TS-Blue-B	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11718	YGR172C	YIP1	yip1-40	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11844	YDL105W	NSE4	nse4-ts4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	27	D3											empty well			
Plate5-TS-Blue-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11997	YHR058C	MED6	med6-ts	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12300	YPR161C	SGV1	sgv1-35	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12354	YHR036W	BRL1	brl1-C371R	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	31	D7											empty well			
Plate5-TS-Blue-B	32	D8											empty well			
Plate5-TS-Blue-B	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11714	YGR172C	YIP1	yip1-4	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11842	YDL105W	NSE4	nse4-ts3	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate5-TS-Blue-B	35	E3											empty well			
Plate5-TS-Blue-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11995	YDR188W	CCT6	cct6-18	"37oC - 38.5oC, sick at 22oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12298	YPR161C	SGV1	sgv1-80	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	38	E6											empty well			
Plate5-TS-Blue-B	39	E7											empty well			
Plate5-TS-Blue-B	40	E8											empty well			
Plate5-TS-Blue-B	41	F1											empty well			
Plate5-TS-Blue-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11840	YDL105W	NSE4	nse4-ts1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11906	YKL052C	ASK1	ask1-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11993	YBL093C	ROX3	rox3-182	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12293	YPR161C	SGV1	sgv1-23	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12352	YHR036W	BRL1	brl1-3231	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12395	YMR229C	RRP5	rrp5-delta6	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Blue-B	48	F8											empty well			
Plate5-TS-Green-A	1	A1											empty well			
Plate5-TS-Green-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11708	YGR098C	ESP1	esp1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11833	YBR079C	RPG1	rpg1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11891	YKL052C	ASK1	ask1-3	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11943	YDR437W	GPI19	gpi19-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12289	YLR022C	SDO1	sdo1-VMA1-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12346	YHR036W	BRL1	brl1-2221	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	8	A8											empty well			
Plate5-TS-Green-A	9	B1											empty well			
Plate5-TS-Green-A	10	B2											empty well			
Plate5-TS-Green-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11755	YKL104C	GFA1	gfa1-97	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11879	YIL147C	SLN1	sln1-ts4	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11940	YDL105W	NSE4	nse4-ts2	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12284	YOL144W	NOP8	nop8-101	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12338	YPR108W	RPN7	rpn7-3	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	16	B8											empty well			
Plate5-TS-Green-A	17	C1											empty well			
Plate5-TS-Green-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11705	YDL084W	SUB2	sub2-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11754	YDR050C	TPI1	tpi1-1670	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11878	YHR088W	RPF1	rpf1-1	"30oc - 37oC, sick 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11929	YDR437W	GPI19	gpi19-2-XH	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	22	C6											empty well			
Plate5-TS-Green-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12332	YDL147W	RPN5	rpn5-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12387	YFL017C	GNA1	gna1-ts	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	25	D1											empty well			
Plate5-TS-Green-A	26	D2											empty well			
Plate5-TS-Green-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11752	YAL003W	EFB1	efb1-4	"37oC, slow 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11873	YFR037C	RSC8	rsc8-ts21	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11921	YPR133C	SPN1	spn1-K192N	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12015	YLR430W	SEN1	sen1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12326	YDL097C	RPN6	rpn6-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12382	YLR117C	CLF1	clf1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	33	E1											empty well			
Plate5-TS-Green-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11694	YDL132W	CDC53	cdc53-1	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	35	E3											empty well			
Plate5-TS-Green-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11867	YFR037C	RSC8	rsc8-ts16	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate5-TS-Green-A	37	E5											empty well			
Plate5-TS-Green-A	38	E6											empty well			
Plate5-TS-Green-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12315	YKL024C	URA6	ura6-6	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
